Track Album Name,Track Name,Artist Name,Track Popularity,Date Added
Get Rich Or Die Tryin',P.I.M.P.,50 Cent,81,2023-05-29 16:22:32+00:00
Get Rich Or Die Tryin',In Da Club,50 Cent,85,2023-05-29 16:19:09+00:00
Get Rich Or Die Tryin',Many Men (Wish Death),50 Cent,80,2023-05-29 16:15:09+00:00
BRODIES,BRODIES,Ufo361,56,2023-05-26 14:10:59+00:00
Almost Healed,War Bout It (feat. 21 Savage),Lil Durk,69,2023-05-26 14:09:07+00:00
HEROES & VILLAINS,Lock On Me (with Travis Scott & Future),Metro Boomin,69,2023-05-26 14:08:11+00:00
Veda Saati,Veda Saati,Sefo,68,2023-05-23 17:00:04+00:00
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),AMERICA HAS A PROBLEM (feat. Kendrick Lamar),Beyoncé,54,2023-05-23 16:46:14+00:00
HEROES & VILLAINS,Raindrops (Insane) [with Travis Scott],Metro Boomin,80,2023-05-23 10:49:06+00:00
HEROES & VILLAINS,Umbrella (with 21 Savage & Young Nudy),Metro Boomin,75,2023-05-23 10:49:04+00:00
HEROES & VILLAINS,All The Money (with Gunna) [Bonus],Metro Boomin,70,2023-05-23 10:48:39+00:00
HEROES & VILLAINS,On Time (with John Legend),Metro Boomin,72,2023-05-23 10:48:35+00:00
Faded (The Remixes),Faded - Odesza Remix,ZHU,42,2023-05-23 10:20:52+00:00
HEROES & VILLAINS,Superhero (Heroes & Villains) [with Future & Chris Brown],Metro Boomin,88,2023-05-23 10:15:00+00:00
Double Fantasy,Double Fantasy (with Future),The Weeknd,79,2023-05-23 10:14:56+00:00
Birds In The Trap Sing McKnight,sdp interlude,Travis Scott,84,2023-05-23 10:14:27+00:00
Go Hard,Go Hard,Lil Baby,73,2023-05-23 10:14:00+00:00
Drip Harder,Drip Too Hard (Lil Baby & Gunna),Lil Baby,86,2023-05-23 10:13:02+00:00
Somebody To Love,Somebody To Love,Basstrologe,71,2023-05-23 09:45:30+00:00
Pus,Pus,Sufle,69,2023-05-21 18:23:09+00:00
The Lost Boy,RNP (feat. Anderson .Paak),Cordae,71,2023-05-06 14:04:09+00:00
From a Birds Eye View,Super,Cordae,64,2023-05-06 07:23:11+00:00
Tha Carter III,A Milli,Lil Wayne,69,2023-05-02 12:48:45+00:00
I Am Not A Human Being II (Deluxe),Love Me,Lil Wayne,87,2023-05-02 12:48:41+00:00
Tha Carter III,Lollipop,Lil Wayne,72,2023-05-02 12:48:40+00:00
Sucker for Pain (with Logic & Ty Dolla $ign feat. X Ambassadors),"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,79,2023-05-02 12:48:39+00:00
Breathing,Black Hole,Ben Böhmer,50,2023-04-29 10:50:05+00:00
Gravity,Gravity (feat. Laura Korinth) - Edit,Boris Brejcha,65,2023-04-29 10:44:02+00:00
Oi Oi,Stop It,FISHER,70,2023-04-29 10:43:29+00:00
Losing It,Losing It,FISHER,75,2023-04-29 10:43:28+00:00
Sundress,Sundress,A$AP Rocky,81,2023-04-28 11:08:04+00:00
Kendine Bi' Serseri Ismarla,Kendine Bi' Serseri Ismarla,Hespain,25,2023-04-28 11:07:42+00:00
24 (feat. Lil Baby),24 (feat. Lil Baby),Money Man,65,2023-04-28 11:04:59+00:00
Too Hard,Freestyle,Lil Baby,85,2023-04-28 11:04:18+00:00
Shut up My Moms Calling (Sped up),Shut up My Moms Calling - (Sped Up),Hotel Ugly,86,2023-04-28 11:02:38+00:00
The Melodic Blue,family ties (with Kendrick Lamar),Baby Keem,84,2023-04-17 15:32:55+00:00
Greatness,Greatness,Quavo,64,2023-04-17 15:32:39+00:00
