Track Album Name,Track Name,Artist Name,Track Popularity,Date Added
Let You Down,Let You Down,NF,83,2020-12-12 16:06:19+00:00
Legendary,Legendary,Welshly Arms,67,2020-12-12 16:06:19+00:00
Shades of Black,The Devil You Know,Kovacs,46,2020-12-12 16:06:18+00:00
Blood / / Water,Blood // Water,grandson,76,2020-12-12 16:06:17+00:00
Blurryface,Message Man,Twenty One Pilots,64,2020-12-12 16:06:17+00:00
Carpe Diem,Carpe Diem,Nate Good,16,2020-12-12 16:06:16+00:00
Blurryface,Polarize,Twenty One Pilots,64,2020-12-12 16:06:16+00:00
Smoke + Mirrors,I Bet My Life,Imagine Dragons,67,2020-12-12 16:06:15+00:00
Roots,Roots,Imagine Dragons,68,2020-12-12 16:06:15+00:00
Smoke + Mirrors (Deluxe),Who We Are,Imagine Dragons,54,2020-12-12 16:06:14+00:00
Evolve,Yesterday,Imagine Dragons,57,2020-12-12 16:06:14+00:00
Evolve,Rise Up,Imagine Dragons,68,2020-12-12 16:06:13+00:00
Smoke + Mirrors,Dream,Imagine Dragons,62,2020-12-12 16:06:12+00:00
Evolve,Believer,Imagine Dragons,90,2020-12-12 16:06:11+00:00
Smoke + Mirrors,I’m So Sorry,Imagine Dragons,67,2020-12-12 16:06:11+00:00
The Human Condition,All Time Low,Jon Bellion,70,2020-12-12 16:06:10+00:00
What Everyone's Thinking,Weak,AJR,66,2020-12-12 16:06:10+00:00
Everything Black (feat. Mike Taylor),Everything Black,Unlike Pluto,74,2020-12-12 16:06:10+00:00
Class,Under the Storm,The LaFontaines,31,2020-12-12 16:06:09+00:00
By the Way (Deluxe Edition),Can't Stop,Red Hot Chili Peppers,87,2020-12-12 16:06:09+00:00
Lock Me Up,Lock Me Up,The Cab,52,2020-12-12 16:06:08+00:00
Heathens,Heathens,Twenty One Pilots,84,2020-12-12 16:06:08+00:00
Favourite Worst Nightmare,Fluorescent Adolescent,Arctic Monkeys,81,2020-12-12 16:06:07+00:00
AM,R U Mine?,Arctic Monkeys,85,2020-12-12 16:06:06+00:00
AM,Do I Wanna Know?,Arctic Monkeys,90,2020-12-12 16:06:06+00:00
Lunatic,Come with Me Now,KONGOS,69,2020-12-12 16:06:04+00:00
Lock Me Up,Stand Up,The Cab,57,2020-12-12 16:06:04+00:00
Megatron,Megatron,Crazy Town,37,2020-12-12 16:06:04+00:00
Full Of War,Walking Separate Ways,Conditions,32,2020-12-12 16:06:03+00:00
OMENS (Deluxe),DO OR DIE,3OH!3,25,2020-12-12 16:06:02+00:00
Eyes on Fire,Eyes on Fire - Zeds Dead Remix,Blue Foundation,59,2020-12-12 16:06:02+00:00
Welcome,Poem,Taproot,59,2020-12-12 15:04:24+00:00
Zella Day,East of Eden,Zella Day,61,2020-12-12 15:04:23+00:00
